person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,cred_hist_to_age_ratio,debt_burden_index,person_home_ownership,loan_intent,cb_person_default_on_file,loan_status
35,68100,4.7,8800,9.86,0.1292,6,0.3529,0.0127,MORTGAGE,PERSONAL,N,0
29,45000,5.9,12800,12.66,0.2844,4,0.3636,0.036,RENT,VENTURE,Y,1
42,39900,2.3,17000,15.73,0.4261,6,0.25,0.067,RENT,VENTURE,N,0
57,48500,8.5,14400,,0.2969,9,0.2308,0.0376,RENT,DEBTCONSOLIDATION,N,0
45,28800,4.4,5100,11.65,0.1771,4,0.1481,0.0206,RENT,MEDICAL,N,0
43,34400,0.0,20300,14.02,0.5901,15,0.6,0.0827,RENT,VENTURE,Y,1
48,65700,1.4,8300,7.93,0.1263,5,0.1667,0.01,MORTGAGE,EDUCATION,N,0
52,23500,0.8,3400,10.88,0.1447,5,0.1471,0.0157,RENT,EDUCATION,N,0
51,55100,,4600,12.54,0.0835,7,0.2121,0.0105,MORTGAGE,DEBTCONSOLIDATION,N,0
39,72300,0.6,21600,13.24,0.2988,11,0.5238,0.0396,MORTGAGE,MEDICAL,N,0
43,98300,19.3,7300,7.98,0.0743,4,0.16,0.0059,RENT,DEBTCONSOLIDATION,N,0
35,42700,2.6,22100,17.96,0.5176,5,0.2941,0.093,MORTGAGE,EDUCATION,N,1
41,52900,3.7,19000,11.64,0.3592,2,0.087,0.0418,RENT,HOMEIMPROVEMENT,N,0
65,52800,10.8,9100,11.29,0.1723,6,0.1277,0.0195,RENT,EDUCATION,N,0
65,25600,2.7,18000,22.05,0.7031,8,0.1702,0.155,MORTGAGE,VENTURE,Y,1
35,30500,1.1,21900,19.73,0.718,11,0.6471,0.1417,RENT,EDUCATION,N,1
54,37000,3.9,13400,12.65,0.3622,9,0.25,0.0458,RENT,MEDICAL,Y,1
53,101000,11.8,17700,11.43,0.1752,19,0.5429,0.02,RENT,DEBTCONSOLIDATION,N,0
39,53800,10.7,4500,10.28,0.0836,2,0.0952,0.0086,RENT,DEBTCONSOLIDATION,N,0
39,64600,7.5,8600,7.63,0.1331,5,0.2381,0.0102,MORTGAGE,EDUCATION,N,0
39,33500,18.9,14800,,0.4418,2,0.0952,0.0559,RENT,VENTURE,N,1
45,40500,0.8,15500,16.04,0.3827,8,0.2963,0.0614,MORTGAGE,PERSONAL,N,0
46,66000,0.7,26100,17.37,0.3955,6,0.2143,0.0687,MORTGAGE,PERSONAL,N,1
44,22900,1.3,14900,22.53,0.6507,3,0.1154,0.1466,RENT,DEBTCONSOLIDATION,Y,1
45,35800,2.1,23800,19.23,0.6648,3,0.1111,0.1278,RENT,EDUCATION,Y,1
41,34500,2.5,13200,16.2,0.3826,2,0.087,0.062,RENT,DEBTCONSOLIDATION,N,0
60,31000,0.5,13400,16.8,0.4323,9,0.2143,0.0726,MORTGAGE,PERSONAL,N,0
41,37200,9.7,9800,12.33,0.2634,3,0.1304,0.0325,RENT,PERSONAL,N,0
45,88000,,10300,11.36,0.117,6,0.2222,0.0133,RENT,HOMEIMPROVEMENT,Y,1
39,52300,3.9,14300,12.42,0.2734,15,0.7143,0.034,OWN,HOMEIMPROVEMENT,N,1
41,169600,0.2,22200,10.46,0.1309,6,0.2609,0.0137,RENT,MEDICAL,N,0
43,28700,10.9,20200,19.71,0.7038,6,0.24,0.1387,MORTGAGE,DEBTCONSOLIDATION,Y,1
38,83500,18.8,7100,12.64,0.085,8,0.4,0.0107,OWN,DEBTCONSOLIDATION,N,0
39,43300,0.4,14700,11.57,0.3395,6,0.2857,0.0393,RENT,PERSONAL,N,1
30,50500,12.0,16100,13.99,0.3188,5,0.4167,0.0446,RENT,VENTURE,N,0
39,28900,5.6,14200,16.13,0.4913,9,0.4286,0.0792,RENT,EDUCATION,N,1
70,91700,0.6,21700,9.95,0.2366,2,0.0385,0.0235,MORTGAGE,EDUCATION,N,0
52,59500,1.0,9900,14.44,0.1664,8,0.2353,0.024,RENT,DEBTCONSOLIDATION,N,0
51,33400,6.7,12900,15.13,0.3862,4,0.1212,0.0584,MORTGAGE,PERSONAL,N,0
42,33700,0.0,5600,,0.1662,8,0.3333,0.021,RENT,PERSONAL,N,0
45,89800,13.5,25400,14.0,0.2829,2,0.0741,0.0396,MORTGAGE,DEBTCONSOLIDATION,N,0
35,54400,3.1,15000,12.72,0.2757,8,0.4706,0.0351,RENT,PERSONAL,N,1
46,36300,0.3,17900,16.68,0.4931,11,0.3929,0.0822,RENT,PERSONAL,N,0
42,55100,6.6,18500,14.47,0.3358,6,0.25,0.0486,RENT,EDUCATION,N,1
35,108700,8.4,8900,6.67,0.0819,5,0.2941,0.0055,RENT,MEDICAL,N,0
45,40500,27.0,9800,11.95,0.242,7,0.2593,0.0289,MORTGAGE,PERSONAL,N,0
43,38300,16.6,16400,16.41,0.4282,3,0.12,0.0703,MORTGAGE,PERSONAL,N,0
43,76500,2.9,18600,8.45,0.2431,9,0.36,0.0205,RENT,PERSONAL,N,0
29,80800,10.0,10600,10.1,0.1312,11,1.0,0.0133,RENT,VENTURE,N,0
42,73100,0.1,16900,12.65,0.2312,6,0.25,0.0292,RENT,MEDICAL,N,1
59,92800,7.6,12000,15.05,0.1293,6,0.1463,0.0195,RENT,PERSONAL,N,0
42,44100,3.7,23600,18.95,0.5351,8,0.3333,0.1014,RENT,VENTURE,Y,1
41,82900,0.2,14000,9.26,0.1689,8,0.3478,0.0156,OWN,MEDICAL,N,0
40,95600,3.4,10600,10.79,0.1109,4,0.1818,0.012,MORTGAGE,DEBTCONSOLIDATION,N,0
43,85200,3.5,15900,15.11,0.1866,9,0.36,0.0282,RENT,MEDICAL,N,0
61,81600,7.9,3600,7.27,0.0441,4,0.093,0.0032,RENT,EDUCATION,N,0
40,35300,1.7,16300,17.63,0.4618,4,0.1818,0.0814,MORTGAGE,EDUCATION,N,1
37,51400,2.9,17200,14.06,0.3346,9,0.4737,0.047,OWN,MEDICAL,N,0
46,72300,1.0,20000,15.7,0.2766,2,0.0714,0.0434,RENT,MEDICAL,N,1
37,51100,,14700,10.83,0.2877,6,0.3158,0.0312,MORTGAGE,EDUCATION,N,0
55,35800,0.2,20300,22.31,0.567,7,0.1892,0.1265,MORTGAGE,EDUCATION,N,1
37,78700,0.9,13300,7.07,0.169,7,0.3684,0.0119,MORTGAGE,EDUCATION,N,0
55,35300,,12100,16.17,0.3428,4,0.1081,0.0554,MORTGAGE,DEBTCONSOLIDATION,N,1
34,64800,1.7,17100,16.41,0.2639,4,0.25,0.0433,RENT,DEBTCONSOLIDATION,N,1
56,79000,1.5,8100,10.92,0.1025,7,0.1842,0.0112,RENT,DEBTCONSOLIDATION,N,0
70,234900,,4900,6.79,0.0209,8,0.1538,0.0014,MORTGAGE,EDUCATION,N,0
42,38300,1.2,8900,13.92,0.2324,9,0.375,0.0324,OWN,PERSONAL,N,0
33,35200,11.5,8100,13.91,0.2301,5,0.3333,0.032,RENT,VENTURE,N,0
29,67200,,29200,14.56,0.4345,8,0.7273,0.0633,MORTGAGE,PERSONAL,N,0
43,57800,3.3,13100,9.87,0.2266,11,0.44,0.0224,RENT,MEDICAL,N,0
35,128400,2.9,12100,9.91,0.0942,9,0.5294,0.0093,OWN,PERSONAL,N,0
42,54400,,3900,6.96,0.0717,4,0.1667,0.005,MORTGAGE,PERSONAL,N,0
50,39800,1.4,10200,11.76,0.2563,5,0.1562,0.0301,MORTGAGE,MEDICAL,Y,0
34,98600,1.6,24600,6.47,0.2495,8,0.5,0.0161,RENT,PERSONAL,N,0
45,70800,9.3,14400,,0.2034,6,0.2222,0.0258,MORTGAGE,PERSONAL,N,0
41,52800,5.8,13100,11.18,0.2481,8,0.3478,0.0277,MORTGAGE,HOMEIMPROVEMENT,Y,0
38,63900,2.1,1500,8.41,0.0235,7,0.35,0.002,RENT,EDUCATION,N,0
38,81200,4.0,14600,,0.1798,10,0.5,0.0228,MORTGAGE,EDUCATION,N,0
53,15600,1.6,16500,,1.0577,5,0.1429,0.1339,RENT,VENTURE,Y,1
35,78500,3.8,14300,11.15,0.1822,8,0.4706,0.0203,MORTGAGE,EDUCATION,N,0
34,78200,1.5,28300,15.4,0.3619,7,0.4375,0.0557,RENT,EDUCATION,N,0
49,98100,6.9,8100,9.78,0.0826,11,0.3548,0.0081,MORTGAGE,VENTURE,N,0
33,72400,2.8,6900,9.14,0.0953,6,0.4,0.0087,RENT,EDUCATION,N,0
55,65700,1.2,5900,10.19,0.0898,15,0.4054,0.0092,MORTGAGE,EDUCATION,N,0
62,27600,2.7,12200,17.8,0.442,3,0.0682,0.0787,RENT,DEBTCONSOLIDATION,Y,1
39,46500,,20900,15.6,0.4495,9,0.4286,0.0701,RENT,DEBTCONSOLIDATION,N,0
37,126700,3.6,19400,11.22,0.1531,12,0.6316,0.0172,RENT,HOMEIMPROVEMENT,N,0
53,52600,13.0,8700,9.44,0.1654,8,0.2286,0.0156,MORTGAGE,EDUCATION,N,0
45,146700,4.9,7000,11.82,0.0477,10,0.3704,0.0056,MORTGAGE,MEDICAL,N,0
32,98800,1.1,28400,15.53,0.2874,10,0.7143,0.0446,RENT,DEBTCONSOLIDATION,N,0
38,54700,9.2,9000,8.2,0.1645,2,0.1,0.0135,RENT,EDUCATION,N,0
57,53200,,7800,,0.1466,3,0.0769,0.0186,MORTGAGE,PERSONAL,N,0
41,159500,7.2,6200,7.6,0.0389,3,0.1304,0.003,MORTGAGE,VENTURE,N,0
43,25400,17.0,5500,10.89,0.2165,3,0.12,0.0236,MORTGAGE,HOMEIMPROVEMENT,N,0
43,54400,0.0,19000,13.41,0.3493,6,0.24,0.0468,RENT,HOMEIMPROVEMENT,N,0
35,32500,0.2,10900,12.76,0.3354,2,0.1176,0.0428,MORTGAGE,PERSONAL,N,0
70,71400,,6900,9.7,0.0966,2,0.0385,0.0094,RENT,EDUCATION,N,0
29,16400,1.5,22400,18.65,1.3659,7,0.6364,0.2547,RENT,EDUCATION,Y,1
38,60600,,13400,,0.2211,5,0.25,0.028,MORTGAGE,PERSONAL,N,0
47,100800,2.8,28800,12.58,0.2857,7,0.2414,0.0359,RENT,MEDICAL,N,0
37,58800,14.3,9100,13.59,0.1548,3,0.1579,0.021,MORTGAGE,DEBTCONSOLIDATION,N,0
38,19500,8.2,20700,21.4,1.0615,5,0.25,0.2272,RENT,EDUCATION,N,0
46,33500,1.1,14700,16.08,0.4388,4,0.1429,0.0706,RENT,MEDICAL,Y,0
33,26300,3.8,18600,,0.7072,4,0.2667,0.0895,MORTGAGE,DEBTCONSOLIDATION,Y,1
41,117600,0.8,12600,10.18,0.1071,9,0.3913,0.0109,RENT,EDUCATION,N,0
35,142500,6.7,6200,6.8,0.0435,5,0.2941,0.003,RENT,EDUCATION,N,0
39,27000,0.6,10600,17.54,0.3926,8,0.381,0.0689,OWN,VENTURE,N,0
40,90400,3.2,12900,12.75,0.1427,8,0.3636,0.0182,MORTGAGE,DEBTCONSOLIDATION,N,0
46,52700,6.0,8800,10.57,0.167,13,0.4643,0.0177,MORTGAGE,PERSONAL,N,0
52,39100,0.8,13200,15.96,0.3376,10,0.2941,0.0539,OWN,HOMEIMPROVEMENT,N,0
37,60500,1.2,9200,11.08,0.1521,8,0.4211,0.0169,OWN,EDUCATION,N,0
38,102000,3.8,9300,10.51,0.0912,8,0.4,0.0096,RENT,DEBTCONSOLIDATION,N,0
47,38100,0.1,22400,17.7,0.5879,8,0.2759,0.1041,OTHER,PERSONAL,N,0
43,51700,5.5,18200,11.36,0.352,2,0.08,0.04,MORTGAGE,EDUCATION,N,0
46,45700,16.1,8600,10.4,0.1882,4,0.1429,0.0196,MORTGAGE,PERSONAL,N,0
61,62500,0.2,6700,8.99,0.1072,10,0.2326,0.0096,RENT,MEDICAL,N,0
54,61900,1.0,10500,11.19,0.1696,5,0.1389,0.019,RENT,DEBTCONSOLIDATION,N,1
34,34100,2.5,2800,7.89,0.0821,2,0.125,0.0065,MORTGAGE,PERSONAL,N,0
34,69300,3.7,9000,8.23,0.1299,4,0.25,0.0107,MORTGAGE,PERSONAL,N,0
40,41600,6.5,8000,11.79,0.1923,9,0.4091,0.0227,RENT,MEDICAL,N,0
45,44000,11.3,6800,12.37,0.1545,3,0.1111,0.0191,MORTGAGE,DEBTCONSOLIDATION,N,0
37,31000,1.3,8600,,0.2774,6,0.3158,0.0351,MORTGAGE,VENTURE,N,0
38,69000,12.2,26500,12.48,0.3841,10,0.5,0.0479,MORTGAGE,HOMEIMPROVEMENT,N,0
40,29300,9.6,4800,6.53,0.1638,6,0.2727,0.0107,RENT,EDUCATION,N,1
56,43300,,19500,16.24,0.4503,7,0.1842,0.0731,RENT,PERSONAL,N,1
38,34900,0.1,24000,19.05,0.6877,5,0.25,0.131,RENT,VENTURE,N,1
53,160500,,24300,9.52,0.1514,6,0.1714,0.0144,RENT,DEBTCONSOLIDATION,N,0
46,23900,2.1,14600,18.53,0.6109,14,0.5,0.1132,RENT,VENTURE,Y,1
50,47700,19.9,7700,13.42,0.1614,4,0.125,0.0217,RENT,DEBTCONSOLIDATION,N,0
45,42100,0.0,16100,17.18,0.3824,4,0.1481,0.0657,MORTGAGE,EDUCATION,Y,0
43,72500,4.4,25200,17.41,0.3476,2,0.08,0.0605,OWN,HOMEIMPROVEMENT,N,0
48,70500,30.0,29100,14.56,0.4128,9,0.3,0.0601,RENT,EDUCATION,N,0
44,85700,13.9,21800,13.04,0.2544,4,0.1538,0.0332,RENT,EDUCATION,N,0
33,46800,0.5,1900,6.53,0.0406,3,0.2,0.0027,MORTGAGE,PERSONAL,N,0
60,51700,5.8,15100,13.69,0.2921,2,0.0476,0.04,MORTGAGE,VENTURE,N,1
46,52700,0.9,16400,,0.3112,10,0.3571,0.0394,MORTGAGE,HOMEIMPROVEMENT,N,0
57,18300,1.1,21500,21.51,1.1749,7,0.1795,0.2527,MORTGAGE,MEDICAL,Y,1
35,44200,1.5,11100,12.53,0.2511,2,0.1176,0.0315,OWN,EDUCATION,N,0
38,44700,6.2,5600,11.39,0.1253,11,0.55,0.0143,MORTGAGE,DEBTCONSOLIDATION,Y,0
41,34900,5.7,31500,20.63,0.9026,9,0.3913,0.1862,RENT,VENTURE,Y,1
37,60700,8.7,21400,11.59,0.3526,9,0.4737,0.0409,MORTGAGE,DEBTCONSOLIDATION,N,0
64,115600,4.2,14100,10.12,0.122,6,0.1304,0.0123,RENT,PERSONAL,N,0
52,51900,7.3,10300,14.57,0.1985,11,0.3235,0.0289,MORTGAGE,HOMEIMPROVEMENT,N,0
39,115400,0.8,23700,17.88,0.2054,13,0.619,0.0367,RENT,VENTURE,N,0
32,40700,1.3,12100,14.09,0.2973,2,0.1429,0.0419,MORTGAGE,EDUCATION,Y,0
38,72200,13.7,11300,,0.1565,4,0.2,0.0198,RENT,EDUCATION,N,0
36,21900,4.0,8000,16.51,0.3653,6,0.3333,0.0603,MORTGAGE,VENTURE,N,1
41,45500,1.4,15700,16.69,0.3451,3,0.1304,0.0576,OTHER,MEDICAL,N,0
51,89000,15.3,13800,13.09,0.1551,2,0.0606,0.0203,MORTGAGE,MEDICAL,N,0
43,169000,3.1,14700,,0.087,4,0.16,0.011,MORTGAGE,EDUCATION,N,0
46,32800,0.6,22500,19.45,0.686,16,0.5714,0.1334,RENT,DEBTCONSOLIDATION,Y,1
46,38300,6.7,8800,,0.2298,13,0.4643,0.0291,RENT,MEDICAL,N,0
60,61200,1.2,11800,10.43,0.1928,10,0.2381,0.0201,RENT,EDUCATION,Y,0
52,66300,2.2,12600,14.39,0.19,7,0.2059,0.0273,RENT,EDUCATION,N,1
43,22000,3.6,25200,17.84,1.1455,2,0.08,0.2044,RENT,DEBTCONSOLIDATION,Y,1
42,59100,0.8,13500,14.71,0.2284,6,0.25,0.0336,MORTGAGE,MEDICAL,Y,1
40,21100,7.7,4000,13.37,0.1896,7,0.3182,0.0253,RENT,VENTURE,N,0
50,175000,1.2,11200,9.22,0.064,8,0.25,0.0059,RENT,EDUCATION,N,0
37,49100,0.6,14200,14.94,0.2892,5,0.2632,0.0432,MORTGAGE,EDUCATION,N,0
55,70600,9.8,6200,5.42,0.0878,11,0.2973,0.0048,RENT,MEDICAL,N,0
37,50800,2.0,10500,14.76,0.2067,3,0.1579,0.0305,RENT,MEDICAL,N,1
46,55900,3.0,21200,16.53,0.3792,2,0.0714,0.0627,RENT,EDUCATION,N,0
33,98000,15.0,9500,10.76,0.0969,5,0.3333,0.0104,MORTGAGE,EDUCATION,N,0
44,29000,5.5,10800,16.21,0.3724,2,0.0769,0.0604,RENT,MEDICAL,N,0
45,31600,0.2,23100,21.07,0.731,9,0.3333,0.154,MORTGAGE,EDUCATION,N,0
43,15300,3.8,14400,,0.9412,4,0.16,0.1192,MORTGAGE,VENTURE,Y,1
52,47600,7.7,15300,14.56,0.3214,4,0.1176,0.0468,MORTGAGE,EDUCATION,N,1
32,18300,10.8,25500,16.68,1.3934,2,0.1429,0.2324,RENT,PERSONAL,Y,1
44,27300,4.3,3800,11.38,0.1392,2,0.0769,0.0158,RENT,VENTURE,N,1
37,35900,1.6,10400,,0.2897,9,0.4737,0.0367,OWN,DEBTCONSOLIDATION,N,0
43,31800,0.2,9300,15.07,0.2925,6,0.24,0.0441,RENT,VENTURE,N,0
68,36400,15.3,17600,16.8,0.4835,8,0.16,0.0812,MORTGAGE,MEDICAL,N,0
41,69600,0.6,17800,,0.2557,11,0.4783,0.0324,MORTGAGE,EDUCATION,Y,0
37,109000,4.4,13800,11.47,0.1266,2,0.1053,0.0145,RENT,HOMEIMPROVEMENT,N,0
42,20600,0.4,10200,,0.4951,7,0.2917,0.0627,OWN,VENTURE,N,0
45,31000,4.2,16900,,0.5452,17,0.6296,0.069,RENT,VENTURE,Y,1
35,57700,8.4,13900,9.34,0.2409,6,0.3529,0.0225,MORTGAGE,MEDICAL,N,0
34,32800,5.0,24900,21.2,0.7591,6,0.375,0.1609,MORTGAGE,PERSONAL,Y,1
48,250000,14.6,11100,6.47,0.0444,8,0.2667,0.0029,RENT,VENTURE,N,0
55,53900,2.8,20800,16.23,0.3859,6,0.1622,0.0626,MORTGAGE,PERSONAL,N,0
33,49300,8.9,15800,,0.3205,11,0.7333,0.0406,RENT,EDUCATION,N,0
41,61700,4.6,8400,,0.1361,2,0.087,0.0172,MORTGAGE,HOMEIMPROVEMENT,N,0
42,46800,9.3,10500,14.48,0.2244,8,0.3333,0.0325,RENT,EDUCATION,N,0
34,41700,6.0,6600,9.93,0.1583,4,0.25,0.0157,RENT,HOMEIMPROVEMENT,N,0
