person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
34,95500,RENT,10.6,PERSONAL,12700,8.45,0,0.13,N,16
42,38600,RENT,4.0,DEBTCONSOLIDATION,24700,20.1,0,0.64,N,3
49,29100,RENT,0.8,VENTURE,9800,17.51,0,0.34,N,10
46,112500,OWN,1.3,EDUCATION,23200,12.16,0,0.21,N,4
38,55000,MORTGAGE,1.1,PERSONAL,6300,10.33,1,0.11,N,3
39,97300,MORTGAGE,1.2,DEBTCONSOLIDATION,7900,,0,0.08,N,8
52,52300,MORTGAGE,3.2,HOMEIMPROVEMENT,7600,8.69,0,0.15,Y,4
52,182100,OTHER,10.1,PERSONAL,16500,13.23,0,0.09,N,5
46,103600,RENT,0.1,MEDICAL,11800,,0,0.11,N,7
37,49600,RENT,1.4,VENTURE,24000,19.65,0,0.48,Y,12
39,54800,RENT,4.5,VENTURE,13700,12.9,0,0.25,N,20
43,54900,OWN,10.0,VENTURE,23000,13.44,0,0.42,N,4
45,29000,RENT,1.8,EDUCATION,9100,13.93,0,0.31,Y,3
49,41600,MORTGAGE,2.4,EDUCATION,27200,22.36,0,0.65,N,2
42,39900,RENT,2.3,VENTURE,17000,15.73,0,0.43,N,6
51,61600,RENT,1.7,DEBTCONSOLIDATION,14100,12.29,1,0.23,N,6
51,34600,RENT,6.0,EDUCATION,16400,16.09,0,0.47,N,6
57,49900,RENT,5.3,EDUCATION,26400,,1,0.53,Y,3
44,44300,RENT,9.3,PERSONAL,10900,10.96,0,0.25,N,2
46,56500,MORTGAGE,12.5,PERSONAL,9200,12.96,0,0.16,N,7
42,121500,MORTGAGE,11.5,VENTURE,9200,9.37,0,0.08,N,5
37,99000,OWN,3.9,EDUCATION,30100,10.45,0,0.3,N,9
67,26400,RENT,1.0,VENTURE,10800,15.31,0,0.41,N,11
55,52700,MORTGAGE,1.3,DEBTCONSOLIDATION,24900,17.25,1,0.47,Y,6
51,45900,MORTGAGE,4.5,EDUCATION,7100,10.09,0,0.15,N,12
43,38000,RENT,12.5,EDUCATION,12600,16.2,0,0.33,N,8
36,177000,MORTGAGE,3.8,DEBTCONSOLIDATION,16700,14.93,0,0.09,N,3
53,40500,MORTGAGE,13.7,VENTURE,29300,20.61,1,0.72,N,7
42,42100,RENT,1.5,PERSONAL,18100,17.56,0,0.43,N,5
47,142200,RENT,0.5,PERSONAL,1700,8.75,0,0.01,N,10
39,92300,RENT,8.0,MEDICAL,20400,8.35,0,0.22,Y,5
46,42500,MORTGAGE,10.6,MEDICAL,17400,11.45,0,0.41,N,2
39,82300,RENT,3.0,MEDICAL,8100,8.5,0,0.1,Y,8
40,47500,RENT,0.5,EDUCATION,16700,11.9,0,0.35,N,12
46,49300,MORTGAGE,0.2,MEDICAL,26900,15.65,1,0.55,N,9
33,34800,RENT,,HOMEIMPROVEMENT,2100,5.6,0,0.06,N,4
33,14200,RENT,2.9,EDUCATION,30200,22.46,1,2.13,Y,11
38,24700,RENT,1.3,MEDICAL,10100,18.01,1,0.41,Y,6
42,29500,OTHER,3.1,MEDICAL,16400,18.36,0,0.56,N,5
52,68200,RENT,3.4,EDUCATION,9700,8.48,0,0.14,N,6
42,58900,RENT,3.1,EDUCATION,19600,14.58,0,0.33,N,5
43,98500,RENT,4.8,EDUCATION,14300,10.71,0,0.15,N,10
41,27900,RENT,5.7,VENTURE,9500,15.84,0,0.34,N,3
46,144700,MORTGAGE,2.5,VENTURE,14000,9.59,0,0.1,N,4
37,137600,OWN,2.1,EDUCATION,11100,6.26,0,0.08,N,11
43,55200,MORTGAGE,2.3,VENTURE,9200,11.01,0,0.17,N,7
47,37100,RENT,0.4,EDUCATION,16000,14.87,0,0.43,Y,6
46,38200,RENT,1.9,VENTURE,17100,16.73,1,0.45,Y,5
44,60400,RENT,1.1,EDUCATION,7200,7.77,0,0.12,N,18
44,152600,RENT,1.7,PERSONAL,27100,,0,0.18,N,2
48,51400,MORTGAGE,6.3,VENTURE,2300,10.46,0,0.04,N,2
68,22700,RENT,22.3,EDUCATION,9700,15.17,1,0.43,N,8
37,153700,RENT,12.9,EDUCATION,10900,10.1,0,0.07,N,4
68,43500,RENT,8.6,EDUCATION,5300,6.92,0,0.12,N,8
37,120500,RENT,6.7,VENTURE,5900,11.22,0,0.05,N,10
29,76400,MORTGAGE,11.0,DEBTCONSOLIDATION,23400,12.82,0,0.31,N,11
39,49900,RENT,7.0,DEBTCONSOLIDATION,11200,13.69,0,0.22,N,4
47,92200,MORTGAGE,,VENTURE,11300,10.87,0,0.12,N,8
64,36200,MORTGAGE,4.6,DEBTCONSOLIDATION,18400,15.99,1,0.51,Y,6
36,46200,RENT,1.8,DEBTCONSOLIDATION,19400,14.56,1,0.42,N,2
48,40500,OWN,0.0,PERSONAL,18900,14.97,0,0.47,N,6
33,48500,RENT,2.2,MEDICAL,13300,13.16,0,0.27,N,14
63,73200,RENT,2.6,DEBTCONSOLIDATION,18900,15.29,1,0.26,Y,13
55,72900,MORTGAGE,6.6,MEDICAL,26800,15.51,0,0.37,N,7
40,23000,RENT,9.8,MEDICAL,7100,13.85,0,0.31,N,6
31,40400,RENT,13.0,PERSONAL,15600,,1,0.39,Y,10
57,44400,MORTGAGE,2.2,HOMEIMPROVEMENT,24600,16.53,0,0.55,N,6
43,74800,MORTGAGE,15.8,VENTURE,29500,13.76,0,0.39,N,2
56,25100,RENT,8.0,EDUCATION,5900,12.09,0,0.24,N,6
44,79900,MORTGAGE,,EDUCATION,28300,17.31,0,0.35,N,12
44,29200,MORTGAGE,4.5,MEDICAL,19400,18.89,1,0.66,N,9
40,62100,RENT,2.3,VENTURE,19400,14.32,0,0.31,N,7
49,100000,MORTGAGE,0.2,MEDICAL,7300,9.57,0,0.07,Y,9
45,27600,OTHER,3.8,PERSONAL,15600,17.6,1,0.57,Y,11
48,61900,OWN,4.4,VENTURE,11200,13.61,0,0.18,N,6
32,48900,RENT,1.5,MEDICAL,15900,12.18,1,0.33,Y,5
56,31600,RENT,14.1,EDUCATION,19800,23.22,0,0.63,N,9
60,27600,MORTGAGE,4.7,VENTURE,8100,13.07,0,0.29,N,7
45,36700,RENT,1.0,PERSONAL,7500,13.59,0,0.2,N,9
66,34700,MORTGAGE,6.4,PERSONAL,11200,16.75,0,0.32,N,7
62,48400,RENT,3.5,HOMEIMPROVEMENT,17200,11.49,0,0.36,N,9
50,42800,MORTGAGE,3.2,EDUCATION,18000,14.93,0,0.42,N,13
58,68400,RENT,9.0,EDUCATION,16400,13.59,0,0.24,N,8
54,84500,OWN,0.7,VENTURE,23500,14.87,1,0.28,N,3
31,23400,RENT,3.4,HOMEIMPROVEMENT,19700,18.71,1,0.84,Y,9
41,47200,RENT,7.6,MEDICAL,14100,13.62,0,0.3,N,5
50,32100,MORTGAGE,5.4,PERSONAL,13600,12.06,1,0.42,N,12
61,29800,RENT,0.0,MEDICAL,21600,19.73,1,0.72,N,10
33,22900,RENT,7.7,MEDICAL,24900,19.48,1,1.09,Y,5
31,21900,OWN,13.0,HOMEIMPROVEMENT,23400,19.11,1,1.07,Y,8
43,40700,MORTGAGE,6.1,VENTURE,13900,13.63,1,0.34,Y,4
29,67200,MORTGAGE,10.4,PERSONAL,15700,11.58,0,0.23,N,11
43,67100,RENT,2.2,VENTURE,21300,12.37,0,0.32,Y,6
47,30400,MORTGAGE,2.2,PERSONAL,15700,17.97,0,0.52,Y,8
36,28700,RENT,1.9,MEDICAL,8800,13.8,1,0.31,Y,8
43,61800,RENT,6.6,DEBTCONSOLIDATION,25000,16.12,1,0.4,Y,5
53,42700,MORTGAGE,14.2,VENTURE,13800,,1,0.32,N,3
39,88400,MORTGAGE,10.8,MEDICAL,31000,15.63,1,0.35,N,4
37,29400,OTHER,0.8,EDUCATION,15100,14.61,0,0.51,N,7
43,19500,MORTGAGE,4.9,EDUCATION,11700,,1,0.6,N,9
35,75900,MORTGAGE,,MEDICAL,8600,15.14,0,0.11,N,7
65,19200,MORTGAGE,1.8,EDUCATION,10900,18.09,0,0.57,N,5
44,24500,RENT,5.0,EDUCATION,8700,11.45,0,0.36,N,3
38,37500,RENT,11.9,VENTURE,26700,20.91,1,0.71,Y,10
45,46300,RENT,11.5,HOMEIMPROVEMENT,16200,13.91,0,0.35,N,4
43,75400,RENT,1.9,MEDICAL,22400,11.7,0,0.3,N,13
42,31000,OWN,0.5,VENTURE,8500,14.23,0,0.27,N,10
39,111800,RENT,5.2,EDUCATION,5100,8.6,0,0.05,N,10
39,23500,MORTGAGE,14.7,EDUCATION,12300,14.7,0,0.52,N,8
32,44200,MORTGAGE,3.5,MEDICAL,27500,18.93,1,0.62,Y,10
58,85500,MORTGAGE,3.1,DEBTCONSOLIDATION,6500,9.92,0,0.08,N,5
49,88100,MORTGAGE,10.0,HOMEIMPROVEMENT,21300,11.6,0,0.24,N,6
46,12000,RENT,2.8,PERSONAL,5000,15.03,0,0.42,N,7
42,240200,MORTGAGE,5.7,EDUCATION,7700,7.77,0,0.03,N,9
36,45400,OWN,2.5,MEDICAL,19500,15.93,0,0.43,N,8
37,63100,MORTGAGE,2.4,MEDICAL,8600,10.27,0,0.14,N,13
33,45100,MORTGAGE,1.0,HOMEIMPROVEMENT,3400,6.92,0,0.08,N,7
38,175300,RENT,0.5,PERSONAL,8700,9.24,0,0.05,N,4
35,110100,RENT,10.8,PERSONAL,19600,11.84,0,0.18,N,6
61,172700,MORTGAGE,1.0,VENTURE,14700,5.61,0,0.09,N,2
52,70300,MORTGAGE,0.3,PERSONAL,15000,6.03,0,0.21,Y,11
44,89500,RENT,4.4,PERSONAL,12200,9.96,0,0.14,N,11
37,30500,MORTGAGE,3.9,VENTURE,7300,12.34,0,0.24,N,4
35,46800,RENT,4.2,DEBTCONSOLIDATION,8700,13.6,0,0.19,N,6
42,89500,OTHER,3.2,EDUCATION,8100,7.77,0,0.09,Y,7
53,64500,MORTGAGE,0.8,HOMEIMPROVEMENT,18900,13.09,0,0.29,N,11
64,57400,RENT,0.1,PERSONAL,23400,16.08,1,0.41,N,2
33,35400,OTHER,0.2,VENTURE,9000,13.86,0,0.25,N,10
49,102800,RENT,14.3,DEBTCONSOLIDATION,7900,9.0,0,0.08,N,6
38,102000,RENT,3.8,DEBTCONSOLIDATION,9300,10.51,0,0.09,N,8
39,96100,RENT,2.6,MEDICAL,27600,11.6,0,0.29,N,5
44,63600,RENT,2.6,DEBTCONSOLIDATION,8600,11.73,0,0.14,N,6
37,54500,RENT,5.3,EDUCATION,18400,14.23,1,0.34,N,9
41,100500,RENT,2.4,VENTURE,6600,12.02,0,0.07,N,9
36,90700,OWN,8.0,EDUCATION,17700,10.54,0,0.2,N,12
39,33200,RENT,1.5,EDUCATION,9200,14.24,1,0.28,N,7
51,64500,RENT,2.3,DEBTCONSOLIDATION,23000,17.21,1,0.36,Y,4
44,77800,MORTGAGE,13.7,MEDICAL,3500,8.19,0,0.04,N,2
51,37400,MORTGAGE,1.5,PERSONAL,14000,12.95,0,0.37,N,7
38,89000,OTHER,5.4,MEDICAL,17700,10.96,0,0.2,N,3
49,80400,MORTGAGE,2.3,VENTURE,19900,14.3,0,0.25,N,9
32,43100,MORTGAGE,3.2,MEDICAL,25600,18.26,1,0.59,Y,10
44,25700,RENT,0.2,PERSONAL,16800,17.17,1,0.65,N,7
50,74800,RENT,0.9,PERSONAL,6900,9.31,0,0.09,N,15
31,159600,RENT,0.5,MEDICAL,19400,7.96,0,0.12,N,4
38,62300,RENT,9.3,DEBTCONSOLIDATION,14600,12.88,0,0.23,N,14
44,77100,RENT,16.3,MEDICAL,6200,12.19,0,0.08,N,2
53,28500,MORTGAGE,0.4,PERSONAL,7200,14.22,0,0.25,N,3
39,52800,RENT,0.4,PERSONAL,22700,14.49,0,0.43,N,7
48,51000,OWN,4.0,VENTURE,15400,14.17,1,0.3,N,7
58,33300,OTHER,3.5,DEBTCONSOLIDATION,7600,14.83,0,0.23,N,3
49,69000,MORTGAGE,5.3,VENTURE,21300,12.81,0,0.31,N,4
42,67600,MORTGAGE,6.7,DEBTCONSOLIDATION,15900,18.49,0,0.24,N,5
47,46100,RENT,8.0,PERSONAL,7700,7.8,0,0.17,N,8
39,53800,RENT,0.8,VENTURE,12900,13.56,0,0.24,N,9
44,167600,OTHER,0.2,MEDICAL,27100,9.9,0,0.16,N,13
42,38500,RENT,11.0,HOMEIMPROVEMENT,20200,17.07,0,0.52,N,6
47,29100,RENT,3.2,EDUCATION,11700,15.32,0,0.4,N,7
40,28700,RENT,17.7,DEBTCONSOLIDATION,2200,10.65,0,0.08,N,5
47,62100,MORTGAGE,3.8,VENTURE,8800,8.88,0,0.14,N,5
40,13400,RENT,3.6,PERSONAL,8000,17.48,1,0.6,N,7
52,40900,MORTGAGE,4.9,MEDICAL,11500,9.23,0,0.28,N,6
41,31800,RENT,0.9,MEDICAL,24800,18.28,1,0.78,Y,11
29,52500,OWN,1.5,EDUCATION,8000,,0,0.15,N,11
36,52600,OTHER,11.8,HOMEIMPROVEMENT,4700,10.29,0,0.09,N,7
44,65500,MORTGAGE,1.2,EDUCATION,7000,8.09,0,0.11,Y,8
61,76000,MORTGAGE,1.3,MEDICAL,12900,,0,0.17,N,2
52,101500,RENT,3.6,MEDICAL,5300,7.57,0,0.05,N,8
28,44600,OWN,5.1,DEBTCONSOLIDATION,15200,15.96,0,0.34,N,3
33,37600,MORTGAGE,0.0,VENTURE,9700,12.69,0,0.26,N,5
55,86600,RENT,3.1,EDUCATION,11500,10.68,0,0.13,N,8
49,21800,RENT,2.5,VENTURE,7500,14.39,0,0.34,N,7
69,82200,RENT,10.0,EDUCATION,20000,13.62,0,0.24,N,8
40,58600,MORTGAGE,9.2,EDUCATION,11600,13.32,0,0.2,N,8
37,69400,RENT,11.8,VENTURE,6600,7.32,0,0.1,N,5
44,66200,MORTGAGE,9.2,MEDICAL,11200,10.52,0,0.17,N,7
40,58400,MORTGAGE,7.7,EDUCATION,31200,16.02,0,0.53,N,4
54,59700,RENT,9.8,EDUCATION,19100,14.09,0,0.32,N,10
39,29400,OWN,1.0,VENTURE,24300,17.98,1,0.83,Y,3
41,37900,MORTGAGE,2.1,DEBTCONSOLIDATION,25200,19.69,0,0.66,Y,9
36,144000,RENT,5.8,PERSONAL,15000,10.2,0,0.1,N,4
51,78400,OWN,12.8,EDUCATION,15200,11.57,0,0.19,N,4
